FMG Training (Long List) / Sample,Type,Magnetite/Hematite,"Fe-Carbonates Mix (Ca, Si, Al, Mn, Mg)",Quartz,Stilpnomelane,Chlorite + Clay Minerals,Other Micas,K-Feldspar,Albite,Zircon,Calcite,Ankerite/Dolomite,Apatite,Monazite,Fluorite,Pyrite,Chalcopyrite,Pyrrhotite,Baryte,Ilmenite,Chromite,Rutile,Others,Total
65 - NSRD0796 Comp 4,Mags,97.66554529,0.28542631,1.53133991,0.00506456,0.2289076,0.00051873,0.0956955,0.0009944,0,0,0.00624314,0.01277171,0.01406634,0,0.00232202,0,0.00127029,0,0.00079236,0.01018189,0.01008154,0.12877841,100
66 - NSRD0796 Comp 5,Mags,97.16636684,0.50339172,1.67538578,0.00361681,0.25864524,0.00080693,0.11791446,0.01293445,0,0.0000337,0.00960254,0.01397105,0.02389566,0,0.00770454,0,0.00182252,0,0.00003913,0.02277524,0.01324774,0.16784566,100
67 - NSRD0796 Comp 6,Mags,97.88305423,0.46343651,1.01945483,0.00340419,0.12483794,0.00074898,0.15507384,0.04454307,0,0,0.01120079,0.01577945,0.0296989,0,0.00115045,0,0.00074009,0,0.00024086,0.02231245,0.01747638,0.20684704,100
68 - NSRD0796 Comp 7,Mags,96.98094711,0.5231922,1.81919109,0.00500888,0.17205749,0.00049477,0.10570893,0.09979172,0,0.00052658,0.00684271,0.02455783,0.02072836,0,0.00013907,0,0.00332363,0.00031978,0.00018717,0.00860113,0.01328039,0.21510116,100
75 - GVRD0269 Comp 2,Mags,98.12950613,0.22515972,1.11470539,0.0034413,0.17032021,0.00022314,0.03669788,0.00035529,0,0,0.00012992,0.05396073,0.02366408,0,0.00383531,0,0.00152266,0.00017638,0.00210604,0.00940947,0.00931432,0.21547204,100
76 - GVRD0269 Comp 3,Mags,98.11943368,0.39068182,0.8942179,0.00765108,0.19059667,0.00009859,0.04758364,0.00011942,0,0,0,0.05417112,0.02640699,0,0.0036765,0,0.00336095,0,0.02224503,0.02873565,0.01113851,0.19988246,100
77 - GVRD0269 Comp 4,Mags,97.61986391,0.48448143,1.28866901,0.00368536,0.28237986,0,0.00134208,0,0,0.00017908,0.00057571,0.04272807,0.02486804,0,0.00867408,0,0.00447931,0,0.00274479,0.01512621,0.01127142,0.20893164,100
78 - GVRD0269 Comp 5,Mags,98.00853113,0.25456021,1.18198986,0.00336706,0.20407033,0.00052532,0.02173903,0.00075721,0,0.00002304,0.00005049,0.04637599,0.02307324,0,0.00268295,0,0.00200497,0,0.00072219,0.04134975,0.0104405,0.19773675,100
79 - GVRD0269 Comp 6,Mags,98.3471501,0.18070376,0.9005442,0.00554183,0.16141491,0.00111329,0.05219346,0.00008884,0,0.00229737,0.00119594,0.06609169,0.02250233,0,0.00369503,0,0.00178601,0,0,0.01581241,0.01324059,0.22462823,100
80 - GVRD0269 Comp 7,Mags,97.69154892,0.22295227,1.4091069,0.00511822,0.14851972,0.00200373,0.10191871,0.00173353,0,0,0.00468079,0.06891793,0.02042013,0,0.00496006,0,0.00231207,0,0.00002313,0.0126376,0.00976921,0.2933771,100
