Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID
68-44710313,88,0.5,8,,,3,,,,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 7 -53um DTR Cons,68-44710313
69-44710314,89,3,6,,,2,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 4 -53um DTR Cons,69-44710314
70-44710315,89,1,6,,,2,,,,,,,,,,,2,,100,Tr,N9821XD21,GVRD0267 Comp 5 -53um DTR Cons,70-44710315
71-44710316,91,1,6,,,2,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 6 -53um DTR Cons,71-44710316
72-44710317,93,2,4,,,1,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 7 -53um DTR Cons,72-44710317
73-44710318,93,0.5,5,,,1,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 8 -53um DTR Cons,73-44710318
74-44710319,90,,6,,,2,,,,,,,,,,,2,,100,Tr,N9821XD21,GVRD0267 Comp 9 -53um DTR Cons,74-44710319
75-44710320,87,4,7,,,2,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 2 -53um DTR Cons,75-44710320
76-44710321,92,1,6,,,1,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 3 -53um DTR Cons,76-44710321
77-44710322,90,0.5,7,,,1,,,,,,,,,,,2,,100,Tr,N9821XD21,GVRD0268 Comp 4 -53um DTR Cons,77-44710322
78-44710323,90,1,6,,,2,,,,,,,,,,,2,,100,Tr,N9821XD21,GVRD0268 Comp 5 -53um DTR Cons,78-44710323
79-44710324,90,2,7,,,1,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 6 -53um DTR Cons,79-44710324
80-44710325,90,3,7,,,0.5,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 7 -53um DTR Cons,80-44710325
81-44710326,93,2,4,,,0.5,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 8 -53um DTR Cons,81-44710326
82-44710327,94,1,4,,,0.5,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 9 -53um DTR Cons,82-44710327
83-44710328,79,13,6,,,0.5,,,,,,,,,,,1,,100,Tr,N9821XD21,GVRD0269 Comp 2 -53um DTR Cons,83-44710328
84-44710329,90,2,5,,,2,,,,,,,,,,,1,,100,Tr,N9821XD21,GVRD0269 Comp 3 -53um DTR Cons,84-44710329
