BHID_x,Composite_x,Process,Product,BV Report,Mineral,Chlorite group,Quartz,Pyroxene,Plagioclase,K-Feldspar,Calcite group-Siderite,Calcite group,Dolomite group,Spinel group,Hematite group,Stilpnomelane,Mica group,Pyrite,Rutile group,Goethite,Smectite group,Sepiolite,Kaolinite-serpentine group,Total,Sample_x,CompositeID,Sample_y,BHID_y,Composite_y,Size,Type,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P XRF,S XRF,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn XRF,Zr,Sr,LOI371,LOI650,LOI1000,LOI
GVRD0269,Comp 2,DTR,Tails,N9821XD21,31-44710275,7.21170768,65.49079323,,0,,16.85956933,,0,0,6.747206194,,0,,0.616540864,3.074182704,0,0,0,100,44710275,GVRD0269 Comp 2 53 Tails,44712690037,GVRD0269,Comp 2, -53um ,DTR Tails,0.89,15.56,62.27,2.089,0.083,0.953,0.653,0.202,0.138,2.26,0.387,0.018,0.004,0.001,-0.001,0.007,-0.001,0.005,-0.001,0.012,0.008,-0.001,-0.001,0.003,0.006,0.58,6.45,0.64,7.67
GVRD0269,Comp 3,DTR,Tails,N9821XD21,32-44710276,9.919039441,51.96678088,,0,,27.65564812,,0,1.030664379,0.915957174,,0,,0.321999972,0,0,8.189910035,0,100,44710276,GVRD0269 Comp 3 53 Tails,44712690038,GVRD0269,Comp 3, -53um ,DTR Tails,0.89,16.72,55.89,2.492,0.1,0.686,0.66,0.178,0.188,3.35,0.25,0.045,0.005,0.001,0.001,0.005,-0.001,0.008,-0.001,0.003,0.003,0.001,-0.001,0.004,0.009,0.36,10.54,0.74,11.64
GVRD0269,Comp 4,DTR,Tails,N9821XD21,33-44710277,11.49969599,54.77994205,,0,,28.59863857,,0,0.876988145,0.678909768,,0,,0,0,0,3.565825475,0,100,44710277,GVRD0269 Comp 4 53 Tails,44712690039,GVRD0269,Comp 4, -53um ,DTR Tails,1.02,16.62,55.92,2.579,0.106,0.836,0.804,0.217,0.199,2.97,0.071,0.031,0.007,0.001,-0.001,0.008,-0.001,-0.001,-0.001,0.008,0.002,0.001,-0.001,0.004,0.009,0.4,10.47,0.6,11.47
GVRD0269,Comp 5,DTR,Tails,N9821XD21,34-44710278,11.85638408,62.02346481,,0,,23.42532636,,0,0.875043754,1.170352999,,0,,0.649427996,0,0,0,0,100,44710278,GVRD0269 Comp 5 53 Tails,44712690040,GVRD0269,Comp 5, -53um ,DTR Tails,1.29,14.83,60.89,2.848,0.117,0.86,0.549,0.139,0.226,2.55,0.286,0.039,0.005,0.001,0.001,0.007,-0.001,0.008,-0.001,0.004,0.005,0.001,-0.001,0.005,0.011,0.47,8.38,0.7,9.55
GVRD0269,Comp 6,DTR,Tails,N9821XD21,35-44710279,3.744725427,64.09555138,,0,,18.20205365,,6.362171429,0.796214437,5.980375066,,0.333175204,,0.485733404,0,0,0,0,100,44710279,GVRD0269 Comp 6 53 Tails,44712690041,GVRD0269,Comp 6, -53um ,DTR Tails,1.15,13.98,61.86,1.613,0.062,0.906,1.912,0.167,0.075,2.67,0.477,0.023,0.003,0.001,-0.001,0.008,-0.001,0.005,-0.001,0.004,-0.001,-0.001,-0.001,0.003,0.008,0.22,7.47,1.81,9.5
GVRD0269,Comp 7,DTR,Tails,N9821XD21,36-44710280,4.087843553,63.14671326,,0,,15.97996276,,7.317003948,0.670929619,7.395844567,,0.355143109,,1.046559184,0,0,0,0,100,44710280,GVRD0269 Comp 7 53 Tails,44712690042,GVRD0269,Comp 7, -53um ,DTR Tails,1.15,13.99,61.88,1.795,0.071,0.914,1.931,0.179,0.158,2.81,0.63,0.022,0.004,0.001,-0.001,0.007,-0.001,0.005,-0.001,0.001,0.001,-0.001,-0.001,0.004,0.011,0.19,6.77,1.71,8.67
NSRD0797,Comp 3,DTR,Cons,N9821XD21,37-44710282,1.491278963,8.188971331,,0,,3.978127972,,0,84.24750269,0,,0,,0,0,0,2.094119042,0,100,44710282,NSRD0797 Comp 3 53 Cons,44710970019,NSRD0797,Comp 3, -53um ,DTR Cons,83.8,63.98,8.813,0.321,0.036,0.098,0.107,0.018,0.012,0.543,0.027,0.017,0.003,-0.001,0.002,0.003,0.001,-0.001,0.004,0.02,0.005,0.001,-0.001,0.002,0.004,-0.19,0,-1.38,-1.57
NSRD0797,Comp 4,DTR,Cons,N9821XD21,38-44710283,0.663841202,8.032859452,,0,,1.72015564,,0,86.75076956,0,,0,,0,0,0,2.832374149,0,100,44710283,NSRD0797 Comp 4 53 Cons,44710970020,NSRD0797,Comp 4, -53um ,DTR Cons,86.7,65,8.524,0.214,0.024,0.09,0.111,0.024,0.004,0.394,0.054,0.017,0.002,-0.001,0.002,0.003,0.001,0.003,0.003,0.016,0.005,0.001,-0.001,0.002,0.003,-0.31,-0.59,-1.42,-2.32
NSRD0797,Comp 8,DTR,Cons,N9821XD21,39-44710284,1.027947201,8.780693208,,0,,1.980935744,,0,85.15037141,0,,0,,0,0,0,3.060052437,0,100,44710284,NSRD0797 Comp 8 53 Cons,44710970021,NSRD0797,Comp 8, -53um ,DTR Cons,83.8,63.8,9.739,0.291,0.028,0.096,0.097,0.021,0.009,0.484,0.059,0.027,0.003,-0.001,0.003,0.004,0.001,-0.001,0.003,0.019,0.005,0.001,-0.001,0.001,0.004,-0.27,-0.47,-1.31,-2.05
NSRD0797,Comp 9,DTR,Cons,N9821XD21,40-44710285,0.707252558,9.160588275,,0,,2.309180862,,0,84.72364707,0,,0,,0,0,0,3.099331229,0,100,44710285,NSRD0797 Comp 9 53 Cons,44710970022,NSRD0797,Comp 9, -53um ,DTR Cons,83.7,63.61,9.741,0.269,0.028,0.11,0.139,0.027,0.005,0.465,0.096,0.022,0.003,-0.001,0.002,0.003,-0.001,-0.001,0.003,0.018,0.009,0.001,-0.001,0.001,0.003,-0.34,-0.5,-1.33,-2.17
