Sample,BHID,Composite,Size,Type,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn,Zr,Sr,LOI371,LOI650,LOI1000,LOI
44712680015,GVRD0268,Comp 8,-45um,FEED,39.2,38.89,35.3,0.722,0.03,0.584,1.413,0.096,0.018,1.69,0.178,0.011,0.003,0.002,0.002,0.001,0.001,0.004,-0.001,0.004,0.002,-0.001,-0.001,0.002,0.006,-0.07,3.34,0.7,3.97
44712680016,GVRD0268,Comp 9,-45um,FEED,35.9,36.28,36.21,0.911,0.038,0.622,1.601,0.114,0.037,2.25,0.11,0.013,0.002,0.001,0.003,-0.001,0.001,0.003,-0.001,0.009,0.007,-0.001,-0.001,0.001,0.005,0.03,4.89,0.86,5.78
44712680017,GVRD0268,Comp 2,-38um,FEED,28.25,35.43,38.1,0.943,0.038,0.59,0.463,0.113,0.042,1.53,0.299,0.015,0.002,0.001,0.003,-0.001,-0.001,0.004,-0.001,0.006,0.002,0.001,-0.001,0.002,0.006,1.51,5.42,-0.15,6.78
44712680018,GVRD0268,Comp 3,-38um,FEED,31.2,35.34,38.21,0.933,0.039,0.615,0.404,0.094,0.133,1.57,0.179,0.019,0.003,0.001,0.002,-0.001,0.001,0.004,-0.001,0.009,0.01,0.001,-0.001,0.003,0.007,1.62,5.26,-0.04,6.84
44712680019,GVRD0268,Comp 4,-38um,FEED,36.4,37.02,37.83,1.363,0.064,0.623,0.324,0.085,0.088,1.59,0.097,0.022,0.004,-0.001,0.001,0.002,0.004,0.005,0.002,0.011,0.007,0.001,-0.001,0.003,0.007,0.54,4.28,-0.24,4.58
44712680020,GVRD0268,Comp 5,-38um,FEED,25.1,33.44,37.71,1.702,0.075,0.53,0.385,0.09,0.093,2.29,0.014,0.003,0.002,-0.001,0.002,-0.001,-0.001,0.003,0.002,0.012,0.008,0.001,-0.001,0.003,0.006,1.19,7.79,-0.06,8.92
44712680021,GVRD0268,Comp 6,-38um,FEED,33.5,36.94,38.07,1.042,0.043,0.66,0.352,0.092,0.057,1.41,0.259,0.021,0.002,-0.001,0.001,0.001,0.001,0.003,0.001,0.008,0.004,-0.001,-0.001,0.001,0.005,0.47,4.39,-0.1,4.76
44712680022,GVRD0268,Comp 7,-38um,FEED,36.2,38.62,36.5,0.917,0.04,0.59,0.427,0.109,0.034,1.5,0.269,0.015,0.002,0.001,-0.001,-0.001,-0.001,0.005,0.001,0.006,0.005,-0.001,-0.001,0.001,0.004,0.06,4.09,-0.18,3.97
44712680023,GVRD0268,Comp 8,-38um,FEED,39.4,38.91,35.31,0.707,0.03,0.584,1.417,0.092,0.016,1.69,0.175,0.01,0.002,-0.001,-0.001,0.002,0.004,0.006,-0.001,0.005,0.002,-0.001,-0.001,0.003,0.008,-0.13,3.28,0.8,3.95
44712680024,GVRD0268,Comp 9,-38um,FEED,35.3,36.36,36.23,0.916,0.037,0.599,1.606,0.106,0.035,2.25,0.105,0.018,0.002,-0.001,0.001,0.001,0.001,0.002,-0.001,0.009,0.009,-0.001,-0.001,0.001,0.005,-0.01,4.73,0.98,5.7
44712680025,GVRD0268,Comp 2,-53um,CONS,81.82,66.27,6.944,0.094,0.018,0.065,0.07,0.018,0.004,0.16,0.029,0.003,0.003,-0.001,0.002,0.002,0.003,0.004,0.005,0.02,0.011,-0.001,0.002,-0.001,-0.001,-0.44,-0.79,-1.06,-2.29
44712680026,GVRD0268,Comp 3,-53um,CONS,86.3,67.18,5.777,0.091,0.016,0.068,0.074,0.02,0.009,0.16,0.02,-0.001,0.003,-0.001,0.002,0.002,0.004,0.002,0.004,0.024,0.018,-0.001,-0.001,-0.001,-0.001,-0.43,-0.89,-1.11,-2.43
44712680027,GVRD0268,Comp 4,-53um,CONS,86.6,66.58,6.586,0.146,0.019,0.077,0.062,0.017,0.006,0.174,0.007,-0.001,0.002,-0.001,0.002,0.001,0.003,0.003,0.004,0.021,0.007,-0.001,-0.001,-0.001,-0.001,-0.43,-0.98,-1.01,-2.42
44712680028,GVRD0268,Comp 5,-53um,CONS,88.2,66.7,5.934,0.179,0.028,0.07,0.072,0.017,0.007,0.241,0.001,0.008,0.002,-0.001,0.004,0.002,0.002,0.004,0.006,0.035,0.005,-0.001,-0.001,-0.001,-0.001,-0.31,-0.61,-1.14,-2.06
44712680029,GVRD0268,Comp 6,-53um,CONS,87.2,66.35,6.88,0.122,0.013,0.089,0.066,0.017,0.004,0.164,0.028,0.008,0.003,-0.001,0.001,0.003,0.004,0.004,0.003,0.019,0.008,-0.001,0.001,-0.001,-0.001,-0.46,-0.91,-1.02,-2.39
44712680030,GVRD0268,Comp 7,-53um,CONS,86.1,66.5,6.745,0.115,0.015,0.073,0.084,0.022,0.003,0.182,0.034,0.007,0.004,-0.001,0.002,0.003,0.008,0.004,0.003,0.015,0.005,-0.001,0.001,0.001,0.002,-0.5,-1.04,-0.96,-2.5
44712680031,GVRD0268,Comp 8,-53um,CONS,90.5,68.56,4.314,0.073,0.011,0.06,0.096,0.02,0.001,0.13,0.018,0.007,0.003,-0.001,0.004,0.003,0.006,0.004,0.003,0.011,0.006,0.001,0.001,0.001,0.001,-0.6,-1.29,-0.98,-2.87
44712680032,GVRD0268,Comp 9,-53um,CONS,91.5,68.42,4.371,0.083,0.017,0.054,0.099,0.022,0.003,0.155,0.012,-0.001,0.003,-0.001,0.001,0.002,0.005,0.004,0.003,0.022,0.02,-0.001,-0.001,-0.001,-0.001,-0.53,-1.18,-1.08,-2.79
44712680033,GVRD0268,Comp 2,-45um,CONS,85.1,68.17,4.695,0.062,0.017,0.047,0.053,0.013,0.002,0.107,0.016,0.011,0.004,-0.001,0.003,0.003,0.004,0.002,0.003,0.025,0.013,-0.001,-0.001,-0.001,-0.001,-0.51,-1.14,-0.96,-2.61
44712680034,GVRD0268,Comp 3,-45um,CONS,88.2,68,4.801,0.084,0.014,0.059,0.067,0.016,0.005,0.138,0.015,0.016,0.004,-0.001,0.003,0.004,0.005,0.008,0.004,0.023,0.016,-0.001,0.002,-0.001,-0.001,-0.48,-1.12,-0.99,-2.59
44712680035,GVRD0268,Comp 4,-45um,CONS,87.6,67.13,5.927,0.143,0.019,0.073,0.061,0.015,0.005,0.162,0.007,0.011,0.003,-0.001,0.002,0.002,0.005,0.004,0.004,0.022,0.01,0.001,-0.001,-0.001,0.001,-0.47,-1.11,-0.95,-2.53
