,Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID,Sample_ID,Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g,,,,
,NSD0037-12,4.3,0,13.1,14.1,3.2,0,,,,59.3,5.6,,0.3,,,,,,,,,,,,,,7.82,59.38,13.8,0.46,0.03,0.36,0.01,0.17,2.47,10.1,0.212,0.014,0,0,0.006,0.004,0.083,0.015,0.062,0.02,0.002,0.011,0.023,0.009,4.01,,,,1.94,,,,,,
,NSD0037-13,2.4,0,22.5,13.1,5.8,0,,,,53.5,2.3,,0.3,,,,,,,,,,,,,,6.46,62.55,12.35,0.55,0.06,0.97,0.01,0.34,2.31,9.02,0.124,0.012,0,0,0.008,0.005,0.055,0.019,0.088,0.029,0.001,0.011,0.013,0.01,2.78,,,,2.58,,,,,,
,NSD0037-14,10.6,0.1,27.1,14.5,0,34.1,,,,5,6.6,,1.9,,,,,,,,,,,,,,24.58,38.47,3.93,0.18,0.77,2.28,0.7,0.26,4.77,0.92,0.298,0.007,0,0,0.005,0.002,0.016,0.011,0.027,0.014,0.002,0.003,0.004,0.019,11,,,,11.38,,,,,,
,NSD0037-15,28,9.7,20.7,4.1,0,22.5,,,,1.7,9.2,,0.9,,,,,,,,,,,,,,39.05,27.56,1.32,0.09,0.62,1.82,0.53,0.04,2.87,0.31,0.175,0.003,0,0,0.004,-0.001,0.006,0.012,0.008,0.005,0.001,0.002,0.002,0.011,26.4,,,,7.55,,,,,,
,NSD0037-16,42.2,0.2,29.9,8.8,0,13,,,,2.5,2,,1.3,,,,,,,,,,,,,,38.34,34.77,2,0.07,0.49,0.06,0.01,0.01,2.3,0.46,0.173,0.003,0,0,0.001,-0.001,0.007,0.013,0.014,0.006,0.001,-0.001,0.002,0.006,40,,,,4.21,,,,,,
,NSD0037-17,42.9,0.2,29.4,8.5,0,13.5,,,,2.5,1.9,,1.1,,,,,,,,,,,,,,38.93,34.04,1.83,0.07,0.51,0.08,0.01,0.01,2.28,0.42,0.152,0.003,0,0,0.001,-0.001,0.007,0.013,0.013,0.006,0.001,-0.001,0.002,0.007,41.1,,,,4.38,,,,,,
,NSD0037-18,10.1,0,23.9,14.4,0,8.7,,,,15.8,17.4,,6.7,,,,,,,,,,,,,,19.38,51.23,7.17,0.29,0.26,0.07,0.01,0.16,4.72,2.7,0.827,0.01,0,0,0.004,0.002,0.037,0.013,0.049,0.021,0.001,0.004,0.007,0.013,47.7,,,,4.52,,,,,,
,NSD0037-19,11,0,20.8,19,0.8,4.5,,,,30.5,9.9,,0.4,,,,,,,,,,,,,,17.41,50.77,9.56,0.43,0.18,0.22,0.03,0.13,4.26,5,0.327,0.011,0,0,0.005,0.003,0.056,0.018,0.074,0.028,0.001,0.003,0.008,0.009,10.3,,,,3.66,,,,,,
,NSD0037-20,13.9,0,26.4,14.2,0,8.1,,,,19.5,11.4,,4.4,,,,,,,,,,,,,,20.16,50.91,7.14,0.32,0.24,0.15,0.04,0.16,3.88,3.18,0.526,0.008,0,0,0.005,0.002,0.05,0.013,0.055,0.02,0.001,0.004,0.01,0.012,13.1,,,,3.99,,,,,,
,NSD0037-21,12.6,0,28.7,17.1,0.1,5.1,,,,21.5,10,,2.9,,,,,,,,,,,,,,17.88,54.11,7.81,0.35,0.18,0.1,0.01,0.11,3.75,3.68,0.472,0.008,0,0,0.002,0.004,0.055,0.013,0.06,0.022,0.001,0.004,0.007,0.012,11.4,,,,3.33,,,,,,
,NSD0037-22,28.2,6.7,21.5,3.3,0.1,23.4,,,,6.3,6.1,,3.4,,,,,,,,,,,,,,36.18,31.57,2.59,0.13,0.67,0.84,0.23,0.05,3.07,1.15,0.382,0.003,0,0,0.002,-0.001,0.018,0.004,0.02,0.008,0.001,-0.001,0.003,0.009,27.8,,,,6.45,,,,,,
,NSD0037-23,18.2,1.6,47.5,0.5,21.4,8.4,,,,0.4,1.9,,0.2,,,,,,,,,,,,,,23.16,48.99,0.43,0.04,0.58,5.01,0.02,0.01,2.52,0.15,0.072,0.002,0,0,0.002,0.003,0.004,0.002,0.004,0.003,0.001,-0.001,0.004,0.02,20.8,,,,9.28,,,,,,
,NSD0038-24,34.1,5.5,38.5,2.9,1.7,13.9,,,,1.8,0.2,,1.2,,,,,,,,,,,,,,35.93,38.09,1.27,0.05,0.63,0.53,0.06,0.01,1.88,0.49,0.193,0.002,0,0,0.004,-0.001,0.01,0.001,0.008,0.004,0.001,0.001,0.002,0.008,32.6,,,,4.79,,,,,,
,NSD0038-25,10.9,3,51,0.7,13.1,20.4,,,,0,0.8,,0,,,,,,,,,,,,,,21.12,52.72,0.26,0.01,0.88,2.53,0.02,0,2.39,0.07,0.031,0.001,0,0,0.002,0.002,0.002,-0.001,0.001,0.002,0.001,-0.001,0.004,0.016,11.9,,,,10.64,,,,,,
,NSD0038-26,16.3,3.3,53.4,0.9,15.7,9.8,,,,0,0.6,,0,,,,,,,,,,,,,,21.95,53.37,0.29,0.02,0.6,3.35,0.05,0,2.01,0.07,0.014,0.002,0,0,0.001,0.001,-0.001,-0.001,0.002,0.003,-0.001,-0.001,0.003,0.018,17.3,,,,8.21,,,,,,
,NSD0038-27,13.2,5.6,33.4,0.8,13.9,29.9,,,,0,3.1,,0.1,,,,,,,,,,,,,,28.49,35.13,0.46,0.06,1.28,3.23,0.06,0.01,3.73,0.14,0.063,0.002,0,0,0.002,-0.001,0.003,-0.001,0.003,0.004,0.001,-0.001,0.001,0.016,14.3,,,,14.78,,,,,,
,NSD0038-28,17.8,7.2,25.4,2.4,16,24.3,,,,1.6,3.7,,1.7,,,,,,,,,,,,,,31.33,30.89,1.36,0.12,1.08,3.71,0.08,0.05,3.98,0.52,0.212,0.003,0,0,0.004,0.001,0.011,0.003,0.013,0.007,0.001,-0.001,0.003,0.019,17.6,,,,13.15,,,,,,
,NSD0038-29,18.5,9.6,31.3,1.1,20,18.1,,,,0,1.4,,0,,,,,,,,,,,,,,31.82,32.18,0.63,0.06,0.9,4.44,0.06,0.01,3.21,0.07,0.059,0.003,0,0,0.001,-0.001,0.002,0.003,0.003,0.004,0.001,-0.001,0.001,0.018,18.7,,,,12.54,,,,,,
,NSD0038-30,22.2,0,27.5,7.8,3.2,1.2,,,,33.3,2.1,,1.8,,,,,,,,,,,,,,18.47,53.41,8.62,0.24,0.09,0.6,0,0.14,2.16,5.72,0.305,0.006,0,0,0.003,0.004,0.109,0.005,0.061,0.021,0.001,0.008,0.006,0.012,19.4,,,,1.6,,,,,,
,NSD0038-31,24.8,6,32.7,2.4,8.5,12.8,,,,6.8,4.4,,1.5,,,,,,,,,,,,,,30.23,41.13,2.31,0.12,0.51,2.41,0.02,0.05,2.49,1.27,0.174,0.003,0,0,0.002,-0.001,0.026,0.004,0.027,0.01,0.001,0.003,0.004,0.014,24.5,,,,6.28,,,,,,
,NSD0038-32,19.4,1,45.6,1.6,8.9,2.4,,,,13.4,5.1,,2.6,,,,,,,,,,,,,,18.79,59.35,3.09,0.06,0.25,1.96,0.01,0.08,1.72,2.13,0.157,0.004,0,0,0.002,0.002,0.041,0.003,0.038,0.009,0.003,0.004,0.005,0.014,18.7,,,,3.63,,,,,,
,NSD0038-33,32.5,2.4,35.4,6.7,2.8,17.6,,,,0.6,1.1,,1,,,,,,,,,,,,,,33.91,37.27,1.28,0.07,0.62,2.11,0.33,0.01,2.44,0.23,0.122,0.003,0,0,0.002,-0.001,0.004,0.005,0.009,0.006,-0.001,-0.001,0.001,0.014,32.5,,,,6.09,,,,,,
,NSD0038-34,36,2.7,29.5,6.6,0.3,22,,,,1.3,0.8,,0.8,,,,,,,,,,,,,,38.76,32.46,1.36,0.11,0.69,0.37,0.04,0.01,2.57,0.24,0.14,0.003,0,0,0.002,0.001,0.003,0.007,0.008,0.007,0.002,0.002,0.003,0.008,36.5,,,,6.08,,,,,,
,NSD0038-35,38.1,2.6,28.9,4,0.1,18.7,,,,3.3,1.4,,0.8,,,,,,,,,,,,,,38.94,33.06,1.61,0.09,0.6,0.4,0.09,0.02,2.1,0.53,0.29,0.003,0,0,0.001,-0.001,0.012,0.007,0.019,0.008,0.001,-0.001,0.002,0.008,39,,,,4.82,,,,,,
,NSD0038-36,13,0.6,14.1,2.4,1,31.5,,,,22.1,5.2,,10.1,,,,,,,,,,,,,,23.38,38.9,6.21,0.2,0.71,1.47,0.33,0.5,3.76,3.56,0.853,0.008,0,0,0.004,0.002,0.059,0.007,0.047,0.016,0.002,0.004,0.005,0.016,14.3,,,,9.67,,,,,,
,NSD0038-37,14.7,0.1,16.8,6.7,1.1,17,,,,32.9,5.4,,5.3,,,,,,,,,,,,,,20.53,45.42,8.28,0.36,0.39,0.43,0.04,0.4,3.58,5.03,0.552,0.011,0,0,0.003,0.002,0.09,0.008,0.075,0.026,0.002,0.004,0.007,0.009,15.3,,,,5.71,,,,,,
,NSD0038-38,22.4,5.3,22.9,10.2,2.7,8.6,,,,14.7,6.1,,5.1,,,,,,,,,,,,,,28.26,41.54,5.47,0.21,0.22,0.76,0.06,0.76,3.32,2.17,0.64,0.008,0,0,0.004,0.001,0.041,0.01,0.048,0.022,0.002,0.003,0.005,0.01,21.8,,,,3.81,,,,,,
,NSD0038-39,42,2.3,34,3.3,0.2,9.6,,,,6,0.6,,0.8,,,,,,,,,,,,,,36.96,39.25,1.75,0.08,0.38,0.2,0.02,0.02,1.53,1.01,0.122,0.003,0,0,0.002,0.002,0.018,0.003,0.014,0.009,0.002,0.001,0.003,0.008,40,,,,2.41,,,,,,
