,Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID,Sample_ID,Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g,,,,
37,16-44710179,,0.5,43,5,7,16,,,,,27,,,,,,,,100,Tr,N9774XD21,44710179 NSRD0798 Comp 10 -38um DTR Tails,16-44710179,NSRD0798-F-10,NSRD0798-F-10,Tails,18.6,53.1,3.05,0.13,0.45,2.66,0.15,0.19,2.97,0.72,0.15,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.08,6.13,2,9.21,30.23,28.391,,,,
38,17-44710180,,1,50,7,3,26,,,,,13,,,,,,,,100,Tr,N9774XD21,44710180 NSRD0797 Comp 3 -53um DTR Tails,17-44710180,NSRD0797-F-3,NSRD0797-F-3,Tails,17.11,53.58,2.85,0.13,0.68,1.12,0.13,0.15,4.56,0.22,0.11,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,1.1,0.54,1.25,9.79,11.58,27.47,26.307,,,,
39,18-44710181,,2,56,4,6,18,,,,2,12,,,,,,,,100,Tr,N9774XD21,44710181 NSRD0797 Comp 4 -53um DTR Tails,18-44710181,NSRD0797-F-4,NSRD0797-F-4,Tails,12.33,61.49,1.62,0.06,0.95,2.18,0.14,0.04,4.1,0.4,0.1,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0.02,0.8,1.93,0.84,7.89,10.66,24.41,23.593,,,,
40,19-44710182,,2,53,6,5,19,,,,2,13,,,,,,,,100,Tr,N9774XD21,44710182 NSRD0797 Comp 8 -53um DTR Tails,19-44710182,NSRD0797-F-8,NSRD0797-F-8,Tails,13.65,59.95,2.16,0.09,0.88,1.62,0.16,0.07,4.29,0.4,0.11,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0.01,0.9,1.16,0.83,8.29,10.28,26.04,23.131,,,,
41,20-44710183,,2,54,5,7,17,,,,4,12,,,,,,,,100,Tr,N9774XD21,44710183 NSRD0797 Comp 9 -53um DTR Tails,20-44710183,NSRD0797-F-9,NSRD0797-F-9,Tails,11.97,61.54,2.12,0.08,0.98,2.23,0.21,0.05,4.3,0.67,0.11,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0.01,0.9,1.82,0.73,7.45,10,24.23,21.168,,,,
42,21-44710184,,3,61,0.5,8,13,,,,6,9,,,,,,,,100,Tr,N9774XD21,44710184 NSRD0797 Comp 13 -53um DTR Tails,21-44710184,NSRD0797-F-13,NSRD0797-F-13,Tails,10.13,64.93,1.84,0.08,0.96,2.64,0.13,0.06,3.67,1.14,0.07,0.01,0,0,0.01,0.01,0.03,0,0,0,0,0,0,0.02,1.8,2.56,0.88,6.03,9.47,31.25,21.015,,,,
43,22-44710185,,1,46,6,3,20,,,,3,22,,,,,,,,100,Tr,N9774XD21,44710185 NSRD0797 Comp 14 -53um DTR Tails,22-44710185,NSRD0797-F-14,NSRD0797-F-14,Tails,16.27,55.74,2.92,0.12,0.71,1.41,0.22,0.17,4.19,0.68,0.15,0,0,0,0.01,0,0.02,0,0,0.01,0,0,0,0.01,1.2,0.75,1.06,7.67,9.48,32.34,27.314,,,,
44,23-44710186,,11,47,6,3,10,,,,11,3,,3,6,,,,,100,Tr,N9774XD21,44710186 NSRD0799 Comp 5 -53um DTR Tails,23-44710186,NSRD0799-F-5,NSRD0799-F-5,Tails,19.52,54.46,4.53,0.21,0.52,1.14,0.15,0.13,2.32,1.88,0.29,0.01,0,0,0.01,0.01,0.04,0,0.03,0.01,0,0,0.01,0.01,1.09,1.27,4.3,0.52,6.09,36.31,30.1,,,,
45,24-44710187,,6,48,5,7,14,,,,10,6,,4,,,,,,100,Tr,N9774XD21,44710187 NSRD0799 Comp 6 -53um DTR Tails,24-44710187,NSRD0799-F-6,NSRD0799-F-6,Tails,13.75,58.75,3.84,0.17,0.6,2.18,0.17,0.1,3.32,1.82,0.34,0.01,0,0,0.01,0,0.04,0,0.01,0.01,0,0,0.01,0.01,0.99,0.5,6.61,1.59,8.7,30,26.31,,,,
46,25-44710188,,3,52,7,7,16,,,,6,5,,3,,,,,,100,Tr,N9774XD21,44710188 NSRD0799 Comp 10 -53um DTR Tails,25-44710188,NSRD0799-F-10,NSRD0799-F-10,Tails,14.13,58.38,3.45,0.15,0.62,2.06,0.11,0.18,3.66,1.26,0.18,0.01,0,0.01,0.01,0,0.03,0,0.01,0.01,0,0,0.01,0.01,0.9,0.46,7.46,1.52,9.44,31.67,26.731,,,,
47,26-44710189,,7,46,4,7,13,,,,12,7,,5,,,,,,100,Tr,N9774XD21,44710189 NSRD0799 Comp 12 -53um DTR Tails,26-44710189,NSRD0799-F-12,NSRD0799-F-12,Tails,13.87,59.09,4.27,0.19,0.6,1.84,0.11,0.14,3.4,2.17,0.45,0.01,0,0,0.01,0.01,0.05,0,0.01,0.01,0,0,0.01,0.01,0.88,0.41,6.15,1.31,7.87,32.49,25.735,,,,
48,27-44710190,,3,48,8,6,13,,,,14,8,,,,,,,,100,Tr,N9774XD21,44710190 NSRD0799 Comp 13 -53um DTR Tails,27-44710190,NSRD0799-F-13,NSRD0799-F-13,Tails,12.59,59.29,4.93,0.21,0.57,1.83,0.12,0.51,3.39,2.51,0.16,0.01,0,0,0.01,0,0.06,0,0.01,0.01,0,0,0.01,0.01,0.9,0.37,5.97,1.33,7.67,29.53,27.645,,,,
49,28-44710191,0.5,0.5,38,11,4,13,0.5,,,21,11,,,,,,,,100,Tr,N9774XD21,44710191 NSRD0799 Comp 14 -53um DTR Tails,28-44710191,NSRD0799-F-14,NSRD0799-F-14,Tails,14.09,55.76,6.97,0.33,0.37,1.31,0.1,0.29,3.53,3.15,0.13,0.01,0,0,0.01,0,0.08,0.01,0.04,0.02,0,0,0.01,0.01,0.78,0.54,5.7,0.97,7.21,31.96,32.243,,,,
50,29-44710192,1,0.5,41,10,4,16,1,,,13,13,,,,,,,,100,Tr,N9774XD21,44710192 NSRD0799 Comp 16 -53um DTR Tails,29-44710192,NSRD0799-F-16,NSRD0799-F-16,Tails,16.08,53.95,6.13,0.29,0.39,1.23,0.1,0.43,3.59,2.34,0.12,0.01,0,0,0.01,0.01,0.11,0,0.03,0.02,0,0,0.01,0.01,0.99,0.6,6.52,0.99,8.11,35.2,32.185,,,,
51,30-44710193,1,0.5,40,9,5,13,0.5,,,19,12,,,,,,,,100,Tr,N9774XD21,44710193 NSRD0799 Comp 17 -53um DTR Tails,30-44710193,NSRD0799-F-17,NSRD0799-F-17,Tails,13.95,55.76,6.92,0.32,0.37,1.45,0.12,0.33,3.37,3.18,0.12,0.01,0,0,0.01,0,0.11,0.01,0.04,0.02,0,0,0.01,0.01,0.8,0.54,5.61,1.01,7.16,31.9,32.32,,,,
52,31-44710194,1,4,53,6,7,14,0.5,,,5,5,,4,,,,,,100,Tr,N9774XD21,44710194 NSRD0800 Comp 4 -53um DTR Tails,31-44710194,NSRD0800-F-4,NSRD0800-F-4,Tails,13.28,61.17,3.18,0.13,0.68,1.88,0.11,0.09,3.23,1.25,0.16,0.01,0,0,0.01,0,0.03,0,0,0.01,0,0,0.01,0.01,1,1.44,6.46,0.75,8.65,26.9,25.565,,,,
53,32-44710195,1,0.5,45,10,3,16,0.5,,,14,10,,,,,,,,100,Tr,N9774XD21,44710195 NSRD0800 Comp 5 -53um DTR Tails,32-44710195,NSRD0800-F-5,NSRD0800-F-5,Tails,14.32,56.61,5.71,0.25,0.53,1.36,0.1,0.48,3.59,2.37,0.13,0.01,0,0.01,0.01,0,0.05,0,0.01,0.01,0,0,0.01,0.01,0.9,1.11,6.4,0.5,8.01,28.98,29.294,,,,
54,33-44710196,0.5,0.5,37,11,4,12,1,,,21,13,,,,,,,,100,Tr,N9774XD21,44710196 NSRD0800 Comp 6 -53um DTR Tails,33-44710196,NSRD0800-F-6,NSRD0800-F-6,Tails,14.4,55.27,7.55,0.34,0.32,1.3,0.11,0.37,3.37,3.39,0.15,0.01,0,0.01,0.01,0.01,0.08,0.01,0.03,0.02,0,0,0.01,0.01,0.7,0.97,5.29,0.57,6.83,31.65,33.489,,,,
55,34-44710197,0.5,0.5,38,12,4,14,0.5,,,16,13,,,,,,,,100,Tr,N9774XD21,44710197 NSRD0800 Comp 8 -53um DTR Tails,34-44710197,NSRD0800-F-8,NSRD0800-F-8,Tails,15.56,53.88,7.06,0.34,0.34,1.15,0.08,0.41,3.66,2.76,0.16,0.01,0,0.01,0.01,0,0.07,0.01,0.04,0.02,0,0,0.01,0.01,0.7,1.04,5.88,0.65,7.57,31.89,34.719,,,,
