BHID,Composite,CSS (µm),Process,Product,BV Report,Mineral,Chlorite group,Quartz,Pyroxene,Plagioclase,K-Feldspar,Calcite group - Siderite,Calcite group,Dolomite group,Spinel group,Hematite group,Stilpnomelane,Mica group,Pyrite,Rutile group,Goethite,Smectite group,Sepiolite,Kaolinite-serpentine group,Total,Birnessite,Sample,CompositeID,Size,Type,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn,Zr,Sr,LOI371,LOI650,LOI1000,LOI,IDENT,FeO,Sample,Pyrite group,MnO,Dry Wt
GVRD0269,Comp 2,53,DTR,TAILS,N9821XD21,31-44710275,7.211707679520315,65.49079322855383,,0.0,,16.859569329002003,,0.0,0.0,6.747206194290356,,0.0,,0.6165408642522391,3.074182704381248,0.0,0.0,0.0,100.0,,,GVRD0269 Comp 2 53 TAILS,-53um,TAILS,0.89,15.56,62.27,2.089,0.083,0.953,0.653,0.202,0.138,2.26,0.387,0.018,0.004,0.001,-0.001,0.007,-0.001,0.005,-0.001,0.012,0.008,-0.001,-0.001,0.003,0.006,0.58,6.45,0.64,7.67,,,,,,
GVRD0269,Comp 3,53,DTR,TAILS,N9821XD21,32-44710276,9.919039440751625,51.96678088315626,,0.0,,27.655648115939645,,0.0,1.0306643786226044,0.9159571742211071,,0.0,,0.3219999720731972,0.0,0.0,8.189910035235563,0.0,100.0,,,GVRD0269 Comp 3 53 TAILS,-53um,TAILS,0.89,16.72,55.89,2.492,0.1,0.686,0.66,0.178,0.188,3.35,0.25,0.045,0.005,0.001,0.001,0.005,-0.001,0.008,-0.001,0.003,0.003,0.001,-0.001,0.004,0.009,0.36,10.54,0.74,11.64,,,,,,
GVRD0269,Comp 4,53,DTR,TAILS,N9821XD21,33-44710277,11.499695990310602,54.7799420523114,,0.0,,28.5986385694862,,0.0,0.8769881445586589,0.6789097684841956,,0.0,,0.0,0.0,0.0,3.5658254748489298,0.0,100.0,,,GVRD0269 Comp 4 53 TAILS,-53um,TAILS,1.02,16.62,55.92,2.579,0.106,0.836,0.804,0.217,0.199,2.97,0.071,0.031,0.007,0.001,-0.001,0.008,-0.001,-0.001,-0.001,0.008,0.002,0.001,-0.001,0.004,0.009,0.4,10.47,0.6,11.47,,,,,,
GVRD0269,Comp 5,53,DTR,TAILS,N9821XD21,34-44710278,11.856384081036511,62.0234648052318,,0.0,,23.425326364457643,,0.0,0.8750437535497122,1.1703529994245323,,0.0,,0.6494279962997986,0.0,0.0,0.0,0.0,100.0,,,GVRD0269 Comp 5 53 TAILS,-53um,TAILS,1.29,14.83,60.89,2.848,0.117,0.86,0.549,0.139,0.226,2.55,0.286,0.039,0.005,0.001,0.001,0.007,-0.001,0.008,-0.001,0.004,0.005,0.001,-0.001,0.005,0.011,0.47,8.38,0.7,9.55,,,,,,
GVRD0269,Comp 6,53,DTR,TAILS,N9821XD21,35-44710279,3.7447254266749725,64.09555138158018,,0.0,,18.202053651210726,,6.362171428931443,0.7962144371350881,5.9803750664921695,,0.33317520359975544,,0.4857334043756626,0.0,0.0,0.0,0.0,100.0,,,GVRD0269 Comp 6 53 TAILS,-53um,TAILS,1.15,13.98,61.86,1.613,0.062,0.906,1.912,0.167,0.075,2.67,0.477,0.023,0.003,0.001,-0.001,0.008,-0.001,0.005,-0.001,0.004,-0.001,-0.001,-0.001,0.003,0.008,0.22,7.47,1.81,9.5,,,,,,
GVRD0269,Comp 7,53,DTR,TAILS,N9821XD21,36-44710280,4.087843552648884,63.146713260316204,,0.0,,15.979962760316091,,7.3170039483354365,0.6709296185821475,7.395844567139268,,0.3551431086231541,,1.046559184038804,0.0,0.0,0.0,0.0,100.0,,,GVRD0269 Comp 7 53 TAILS,-53um,TAILS,1.15,13.99,61.88,1.795,0.071,0.914,1.931,0.179,0.158,2.81,0.63,0.022,0.004,0.001,-0.001,0.007,-0.001,0.005,-0.001,0.001,0.001,-0.001,-0.001,0.004,0.011,0.19,6.77,1.71,8.67,,,,,,
NSRD0797,Comp 3,53,DTR,CONS,N9821XD21,37-44710282,1.4912789627443,8.188971331239548,,0.0,,3.9781279717243105,,0.0,84.24750269226173,0.0,,0.0,,0.0,0.0,0.0,2.0941190420301123,0.0,100.0,,,NSRD0797 Comp 3 53 CONS,-53um,CONS,83.8,63.98,8.813,0.321,0.036,0.098,0.107,0.018,0.012,0.543,0.027,0.017,0.003,-0.001,0.002,0.003,0.001,-0.001,0.004,0.02,0.005,0.001,-0.001,0.002,0.004,-0.19,0.0,-1.38,-1.57,,,,,,
NSRD0797,Comp 4,53,DTR,CONS,N9821XD21,38-44710283,0.6638412015955644,8.032859452473398,,0.0,,1.7201556395257995,,0.0,86.75076955784718,0.0,,0.0,,0.0,0.0,0.0,2.832374148558074,0.0,100.0,,,NSRD0797 Comp 4 53 CONS,-53um,CONS,86.7,65,8.524,0.214,0.024,0.09,0.111,0.024,0.004,0.394,0.054,0.017,0.002,-0.001,0.002,0.003,0.001,0.003,0.003,0.016,0.005,0.001,-0.001,0.002,0.003,-0.31,-0.59,-1.42,-2.32,,,,,,
NSRD0797,Comp 8,53,DTR,CONS,N9821XD21,39-44710284,1.0279472011354547,8.780693207787552,,0.0,,1.980935744278745,,0.0,85.15037141011885,0.0,,0.0,,0.0,0.0,0.0,3.0600524366793853,0.0,100.0,,,NSRD0797 Comp 8 53 CONS,-53um,CONS,83.8,63.8,9.739,0.291,0.028,0.096,0.097,0.021,0.009,0.484,0.059,0.027,0.003,-0.001,0.003,0.004,0.001,-0.001,0.003,0.019,0.005,0.001,-0.001,0.001,0.004,-0.27,-0.47,-1.31,-2.05,,,,,,
NSRD0797,Comp 9,53,DTR,CONS,N9821XD21,40-44710285,0.7072525584756526,9.160588275106432,,0.0,,2.309180862244768,,0.0,84.72364707485258,0.0,,0.0,,0.0,0.0,0.0,3.0993312293205415,0.0,100.0,,,NSRD0797 Comp 9 53 CONS,-53um,CONS,83.7,63.61,9.741,0.269,0.028,0.11,0.139,0.027,0.005,0.465,0.096,0.022,0.003,-0.001,0.002,0.003,-0.001,-0.001,0.003,0.018,0.009,0.001,-0.001,0.001,0.003,-0.34,-0.5,-1.33,-2.17,,,,,,
