Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g
GVRD0268-F-4,Tails,15.1,61.63,2.18,0.09,0.99,0.51,0.13,0.14,2.47,0.16,0.02,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,1,1.31,7.73,0.41,9.45,20.54,23.324
GVRD0268-F-5,Tails,19.36,52.58,2.34,0.1,0.7,0.53,0.12,0.14,3.02,0.02,0.03,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,1,2.48,10.15,0.41,13.04,21.69,28.527
GVRD0268-F-6,Tails,17.74,58.98,1.69,0.08,0.98,0.51,0.13,0.1,2.14,0.4,0.03,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,1.4,1.28,7.36,0.42,9.06,27.03,23.992
GVRD0268-F-7,Tails,17.44,59.56,1.54,0.06,0.94,0.7,0.17,0.07,2.42,0.44,0.03,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1.2,0.59,7.59,0.37,8.55,27.25,23.159
GVRD0268-F-8,Tails,16.1,60.7,1.22,0.05,0.96,2.35,0.15,0.03,2.8,0.3,0.03,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,1.2,0.4,6.62,2.17,9.19,28.68,22.663
GVRD0268-F-9,Tails,14.9,58.25,1.45,0.06,0.92,2.45,0.16,0.07,3.48,0.18,0.02,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0.9,0.41,8.46,2.18,11.05,28.93,24.2
GVRD0269-F-2,Tails,15.56,62.27,2.09,0.08,0.95,0.65,0.2,0.14,2.26,0.39,0.02,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,0.89,0.58,6.45,0.64,7.67,35.81,24.06
GVRD0269-F-3,Tails,16.72,55.89,2.49,0.1,0.69,0.66,0.18,0.19,3.35,0.25,0.05,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0.89,0.36,10.54,0.74,11.64,20.94,26.864
GVRD0269-F-4,Tails,16.62,55.92,2.58,0.11,0.84,0.8,0.22,0.2,2.97,0.07,0.03,0.01,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,1.02,0.4,10.47,0.6,11.47,24.09,25.091
GVRD0269-F-5,Tails,14.83,60.89,2.85,0.12,0.86,0.55,0.14,0.23,2.55,0.29,0.04,0.01,0,0,0.01,0,0.01,0,0,0.01,0,0,0.01,0.01,1.29,0.47,8.38,0.7,9.55,28.01,24.371
GVRD0269-F-6,Tails,13.98,61.86,1.61,0.06,0.91,1.91,0.17,0.08,2.67,0.48,0.02,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,1.15,0.22,7.47,1.81,9.5,31.22,24.111
GVRD0269-F-7,Tails,13.99,61.88,1.8,0.07,0.91,1.93,0.18,0.16,2.81,0.63,0.02,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,1.15,0.19,6.77,1.71,8.67,29.89,23.323
